filepath,class
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000001.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000002.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000003.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000004.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000005.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000006.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000007.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000008.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000009.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000010.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000011.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000012.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000013.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000014.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000015.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000016.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000017.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000018.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000019.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000020.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000021.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000022.jpg,real
C:\Users\HUAWEI\Desktop\Graduation project\Face-detection\real\r_000023.jpg,real
